district,month,missing_boys_start,missing_boys_during,traced_boys,missing_girls_start,missing_girls_during,traced_girls,missing_men_start,missing_men_during,traced_men,missing_women_start,missing_women_during,traced_women
Rourkela,2024-10,135,25,12,206,35,37,172,33,28,282,26,30
Mayurbhanj,2024-10,51,4,5,74,11,10,57,11,4,83,15,14
Cuttack,2024-10,194,24,32,300,32,42,249,32,21,343,48,44
Kalahandi,2024-10,52,5,6,50,13,8,45,8,9,64,17,16
Bhubaneswar,2024-11,229,42,41,338,47,39,240,35,31,397,54,51
Ganjam,2024-11,106,25,23,159,26,28,140,20,20,223,31,25
Koraput,2024-11,55,6,9,90,16,13,60,10,4,101,19,9
Sambalpur,2024-11,105,15,14,146,24,36,131,15,17,174,21,31
Puri,2024-11,90,9,12,128,19,18,94,11,12,149,25,30
Balasore,2024-11,95,14,13,150,20,16,107,13,10,165,29,32
Rourkela,2024-11,148,16,17,204,24,38,177,22,27,278,38,50
Mayurbhanj,2024-11,50,13,10,75,11,17,64,12,14,84,8,11
Cuttack,2024-11,186,31,28,290,35,30,260,41,34,347,44,48
Kalahandi,2024-11,51,4,8,55,15,11,44,10,3,65,7,6
Bhubaneswar,2024-12,230,32,34,346,44,46,244,46,35,400,39,65
Ganjam,2024-12,108,20,14,157,28,18,140,25,19,229,31,29
Koraput,2024-12,52,8,10,93,4,11,66,17,7,111,12,13
Sambalpur,2024-12,106,15,14,134,24,15,129,17,21,164,29,32
Puri,2024-12,87,4,6,129,23,20,93,13,14,144,22,19
Balasore,2024-12,96,16,11,154,24,25,110,15,16,162,26,17
Rourkela,2024-12,147,18,15,190,32,20,172,25,23,266,42,38
Mayurbhanj,2024-12,53,10,10,69,13,9,62,9,13,81,16,12
Cuttack,2024-12,189,26,27,295,41,39,267,45,39,343,50,46
Kalahandi,2024-12,47,3,9,59,10,14,51,6,13,66,11,8
Bhubaneswar,2025-01,228,33,25,344,45,49,255,41,30,374,55,57
Ganjam,2025-01,114,12,18,167,30,25,146,26,28,231,26,24
Koraput,2025-01,50,10,7,86,10,15,76,5,5,110,16,16
Sambalpur,2025-01,107,12,17,143,13,10,125,14,14,161,27,19
Puri,2025-01,85,19,15,132,26,25,92,12,19,147,20,22
Balasore,2025-01,101,14,16,153,29,28,109,17,12,171,27,35
Rourkela,2025-01,150,23,17,202,30,38,174,23,24,270,30,39
Mayurbhanj,2025-01,53,7,2,73,9,14,58,9,9,85,13,11
Cuttack,2025-01,188,27,36,297,39,37,273,39,39,347,55,53
Kalahandi,2025-01,41,11,7,55,7,10,44,7,4,69,6,8
Bhubaneswar,2025-02,236,34,42,340,44,39,266,30,42,372,55,64
Ganjam,2025-02,108,18,14,172,20,28,144,32,26,233,38,32
Koraput,2025-02,53,7,12,81,11,13,76,14,13,110,17,14
Sambalpur,2025-02,102,17,20,146,23,19,125,14,20,169,31,25
Puri,2025-02,89,10,8,133,21,16,85,18,15,145,23,36
Balasore,2025-02,99,10,12,154,17,15,114,17,19,163,26,17
Rourkela,2025-02,156,24,15,194,35,22,173,20,17,261,50,44
Mayurbhanj,2025-02,58,5,7,68,15,10,58,7,9,87,10,13
Cuttack,2025-02,179,23,24,299,35,46,273,32,30,349,50,53
Kalahandi,2025-02,45,6,6,52,9,9,47,7,6,67,8,9
Bhubaneswar,2025-03,228,42,32,345,49,49,254,31,41,363,55,35
Ganjam,2025-03,112,13,10,164,38,29,150,20,25,239,31,33
Koraput,2025-03,48,7,11,79,13,7,77,9,10,113,12,20
Sambalpur,2025-03,99,10,10,150,16,23,119,18,18,175,30,33
Puri,2025-03,91,5,2,138,19,25,88,17,13,132,19,19
Balasore,2025-03,97,7,8,156,17,19,112,12,11,172,25,20
Rourkela,2025-03,165,21,8,207,32,27,176,24,21,267,34,45
Mayurbhanj,2025-03,56,8,10,73,14,8,56,18,17,84,8,10
Cuttack,2025-03,178,18,31,288,36,39,275,28,29,346,47,49
Kalahandi,2025-03,45,7,8,52,8,8,48,5,9,66,13,7
Bhubaneswar,2025-04,238,26,27,345,38,46,244,37,36,383,51,50
Ganjam,2025-04,115,15,14,173,24,21,145,17,20,237,37,29
Koraput,2025-04,44,10,5,85,10,6,76,5,13,105,16,14
Sambalpur,2025-04,99,16,16,143,29,23,119,11,20,172,27,31
Puri,2025-04,94,12,11,132,17,11,92,10,19,132,21,21
Balasore,2025-04,96,11,17,154,25,24,113,13,14,177,25,28
Rourkela,2025-04,178,17,22,212,43,30,179,27,25,256,36,56
Mayurbhanj,2025-04,54,6,4,79,6,10,57,10,13,82,11,4
Cuttack,2025-04,165,21,18,285,46,42,274,35,36,344,48,33
Kalahandi,2025-04,44,1,3,52,12,6,44,9,5,72,7,11
Bhubaneswar,2025-05,237,39,36,337,39,36,245,36,26,384,53,58
Ganjam,2025-05,116,21,21,176,27,31,142,19,14,245,27,20
Koraput,2025-05,49,6,7,89,13,14,68,13,5,107,16,10
Sambalpur,2025-05,99,13,13,149,26,19,110,15,7,168,33,35
Puri,2025-05,95,16,21,138,25,29,83,19,13,132,29,24
Balasore,2025-05,90,11,12,155,19,18,112,17,16,174,20,23
Rourkela,2025-05,173,32,25,225,23,29,181,36,26,236,43,57
Mayurbhanj,2025-05,56,6,6,75,7,10,54,12,13,89,14,17
Cuttack,2025-05,168,27,31,289,40,48,273,33,44,359,56,55
Kalahandi,2025-05,42,4,4,58,15,8,48,9,10,68,8,6
Bhubaneswar,2025-06,240,37,30,340,40,52,255,35,31,379,63,56
Ganjam,2025-06,116,13,15,172,25,31,147,21,18,252,27,28
Koraput,2025-06,48,9,12,88,15,16,76,14,13,113,20,20
Sambalpur,2025-06,99,13,9,156,24,23,118,25,17,166,38,26
Puri,2025-06,90,14,10,134,7,18,89,15,11,137,23,24
Balasore,2025-06,89,13,17,156,17,23,113,18,16,171,20,25
Rourkela,2025-06,180,20,32,219,29,32,191,34,25,222,54,39
Mayurbhanj,2025-06,56,11,8,72,9,11,53,7,6,86,7,16
Cuttack,2025-06,164,32,35,281,41,42,262,25,37,360,44,48
Kalahandi,2025-06,42,5,5,65,17,7,47,5,6,70,13,9
Bhubaneswar,2025-07,247,39,30,328,56,53,259,36,30,386,56,45
Ganjam,2025-07,114,21,12,166,29,20,150,21,22,251,39,38
Koraput,2025-07,45,12,7,87,12,9,77,9,14,113,15,12
Sambalpur,2025-07,103,9,10,157,16,16,126,12,9,178,19,22
Puri,2025-07,94,13,18,123,20,17,93,17,13,136,24,25
Balasore,2025-07,85,12,14,150,27,24,115,17,17,166,18,17
Rourkela,2025-07,168,22,28,216,33,30,200,28,36,237,36,33
Mayurbhanj,2025-07,59,13,4,70,9,6,54,12,8,77,14,8
Cuttack,2025-07,161,28,19,280,40,39,250,46,40,356,54,42
Kalahandi,2025-07,42,4,10,75,10,12,46,8,13,74,14,9
Bhubaneswar,2025-08,256,39,31,331,54,41,265,38,27,397,53,62
Ganjam,2025-08,123,29,18,175,26,37,149,17,20,252,30,37
Koraput,2025-08,50,11,7,90,11,16,72,11,10,116,14,14
Sambalpur,2025-08,102,13,15,157,27,22,129,14,20,175,27,40
Puri,2025-08,89,7,8,126,14,27,97,14,10,135,23,15
Balasore,2025-08,83,16,13,153,14,21,115,15,20,167,24,15
Rourkela,2025-08,162,18,22,219,31,39,192,26,29,240,50,48
Mayurbhanj,2025-08,68,7,5,73,11,14,58,9,11,83,9,14
Cuttack,2025-08,170,28,22,281,44,44,256,44,48,368,54,62
Kalahandi,2025-08,36,8,2,73,5,10,41,4,7,79,3,11
Bhubaneswar,2025-09,264,25,27,344,50,42,276,27,34,388,53,49
Ganjam,2025-09,134,14,11,164,30,25,146,21,19,245,46,42
Koraput,2025-09,54,7,8,85,23,16,73,11,16,116,15,13
Sambalpur,2025-09,100,12,20,162,25,27,123,16,17,162,29,20
Puri,2025-09,88,8,11,113,22,19,101,18,11,143,23,22
Balasore,2025-09,86,8,11,146,23,20,110,16,13,176,22,25
Rourkela,2025-09,158,27,20,211,29,31,189,36,29,242,40,39
Mayurbhanj,2025-09,70,6,10,70,16,9,56,14,12,78,6,9
Cuttack,2025-09,176,29,23,281,40,50,252,31,32,360,49,57
Kalahandi,2025-09,42,7,3,68,13,14,38,8,4,71,14,15
Bhubaneswar,2025-10,262,22,34,352,39,53,269,30,36,392,43,52
Ganjam,2025-10,137,12,13,169,28,30,148,24,26,249,30,35
Koraput,2025-10,53,7,9,92,9,14,68,13,14,118,17,18
Sambalpur,2025-10,92,11,16,160,21,15,122,14,21,171,31,32
Puri,2025-10,85,19,11,116,17,13,108,15,15,144,16,26
Balasore,2025-10,83,12,19,149,23,25,113,10,12,173,30,28
Rourkela,2025-10,165,19,24,209,30,21,196,30,31,243,46,52
Mayurbhanj,2025-10,66,6,6,77,9,12,58,1,3,75,12,8
Cuttack,2025-10,182,15,28,271,49,50,251,32,40,352,49,55
Kalahandi,2025-10,46,5,3,67,9,18,42,5,10,70,14,9
Bhubaneswar,2025-11,250,27,40,338,50,50,263,47,29,383,55,57
Ganjam,2025-11,136,12,22,167,25,27,146,25,30,244,27,36
Koraput,2025-11,51,9,8,87,6,8,67,8,13,117,8,18
Sambalpur,2025-11,87,16,17,166,27,27,115,20,16,170,36,31
Puri,2025-11,93,12,15,120,16,9,108,11,19,134,22,17
Balasore,2025-11,76,16,12,147,21,18,111,16,15,175,22,25
Rourkela,2025-11,160,24,21,218,40,23,195,37,39,237,25,33
Mayurbhanj,2025-11,66,4,15,74,13,13,56,9,7,79,16,13
Cuttack,2025-11,169,21,27,270,37,34,243,34,27,346,60,59
Kalahandi,2025-11,48,6,6,58,11,13,37,4,3,75,6,11
