district,month,cases_registered,persons_arrested,gun_rifle,pistol,revolver,mouzer,ak47,slr,others,ammunition,cartridge
Kalahandi,2025-05,2,4,0,1,0,0,0,0,2,14,1
Bhubaneswar,2025-06,20,30,4,8,6,0,0,0,6,119,51
Ganjam,2025-06,7,7,2,5,2,0,0,0,3,64,25
Koraput,2025-06,4,8,0,2,0,0,0,0,3,24,12
Sambalpur,2025-06,10,10,2,5,2,0,0,0,9,74,31
Puri,2025-06,5,11,0,1,1,0,0,0,3,26,10
Balasore,2025-06,10,19,3,8,3,0,0,0,8,85,43
Rourkela,2025-06,8,13,1,4,1,0,0,0,4,47,19
Mayurbhanj,2025-06,5,5,0,0,0,0,0,0,3,14,7
Cuttack,2025-06,13,13,2,10,3,0,0,0,5,108,41
Kalahandi,2025-06,6,6,1,5,1,0,0,0,3,57,21
Bhubaneswar,2025-07,12,12,1,4,2,0,0,0,1,39,15
Ganjam,2025-07,3,5,0,0,0,0,0,0,2,12,5
Koraput,2025-07,4,4,0,0,0,0,0,0,1,1,2
Sambalpur,2025-07,9,9,1,4,1,0,0,0,3,41,12
Puri,2025-07,5,7,0,2,0,0,0,0,3,25,9
Balasore,2025-07,5,5,0,2,1,0,0,0,4,26,14
Rourkela,2025-07,8,11,0,3,1,0,0,0,3,37,11
Mayurbhanj,2025-07,3,8,0,1,0,0,0,0,1,13,4
Cuttack,2025-07,10,12,1,3,1,0,0,0,4,51,26
Kalahandi,2025-07,3,4,0,1,0,0,0,0,2,16,2
Bhubaneswar,2025-08,12,14,2,10,3,0,0,0,4,104,37
Ganjam,2025-08,7,8,0,1,0,0,0,0,4,20,9
Koraput,2025-08,3,3,0,2,1,0,0,0,2,22,14
Sambalpur,2025-08,10,19,1,3,1,0,0,0,5,56,19
Puri,2025-08,7,7,0,0,0,0,0,0,2,7,7
Balasore,2025-08,4,6,0,1,0,0,0,0,1,13,3
Rourkela,2025-08,17,17,2,5,2,0,0,0,6,62,29
Mayurbhanj,2025-08,3,4,0,1,0,0,0,0,4,19,8
Cuttack,2025-08,12,12,1,3,1,0,0,0,3,42,15
Kalahandi,2025-08,2,7,0,2,1,0,0,0,1,20,11
Bhubaneswar,2025-09,19,19,3,11,5,0,0,0,3,92,32
Ganjam,2025-09,6,10,0,1,0,0,0,0,1,9,4
Koraput,2025-09,5,5,0,1,0,0,0,0,2,14,7
Sambalpur,2025-09,12,20,1,9,2,0,0,0,4,83,24
Puri,2025-09,3,3,0,2,0,0,0,0,3,25,11
Balasore,2025-09,8,8,1,4,2,0,0,0,2,40,14
Rourkela,2025-09,18,18,2,8,2,0,0,0,4,65,29
Mayurbhanj,2025-09,6,9,0,2,0,0,0,0,4,36,13
Cuttack,2025-09,17,18,1,6,4,0,0,0,4,74,31
Kalahandi,2025-09,2,3,0,1,0,0,0,0,2,18,4
Bhubaneswar,2025-10,19,23,6,17,4,0,0,0,5,154,79
Ganjam,2025-10,14,16,1,5,1,0,0,0,6,71,27
Koraput,2025-10,4,4,0,1,0,0,0,0,3,15,11
Sambalpur,2025-10,11,11,1,6,2,0,0,0,4,58,28
Puri,2025-10,13,16,2,7,3,0,0,0,2,78,36
Balasore,2025-10,3,3,0,1,0,0,0,0,2,9,4
Rourkela,2025-10,11,11,2,8,4,0,0,0,6,98,30
Mayurbhanj,2025-10,3,5,0,2,0,0,0,0,3,38,16
Cuttack,2025-10,10,10,1,3,2,0,0,0,5,69,8
Kalahandi,2025-10,0,2,0,1,0,0,0,0,2,17,7
Bhubaneswar,2025-11,14,20,2,6,3,0,0,0,7,95,39
Ganjam,2025-11,8,8,1,5,1,0,0,0,5,38,31
Koraput,2025-11,2,2,0,1,0,0,0,0,2,18,5
Sambalpur,2025-11,8,13,1,4,1,0,0,0,5,64,22
Puri,2025-11,4,8,0,1,0,0,0,0,2,10,4
Balasore,2025-11,7,9,0,2,1,0,0,0,3,19,19
Rourkela,2025-11,11,14,1,10,3,0,0,0,4,101,38
Mayurbhanj,2025-11,2,2,0,0,0,0,0,0,0,0,0
Cuttack,2025-11,17,19,3,8,4,0,0,0,4,107,45
Kalahandi,2025-11,3,3,0,0,0,0,0,0,2,9,6
